,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,19,154416,197194,-73.970947265625,40.67543061364428,-73.97026062011719,40.67490985011491
id1,1,19,154416,197195,-73.970947265625,40.67490985011491,-73.97026062011719,40.67438908251787
id2,2,19,154416,197196,-73.970947265625,40.67438908251787,-73.97026062011719,40.67386831085319
id3,3,19,154416,197197,-73.970947265625,40.67386831085319,-73.97026062011719,40.673347535120875
id4,4,19,154417,197194,-73.97026062011719,40.67543061364428,-73.96957397460938,40.67490985011491
id5,5,19,154417,197195,-73.97026062011719,40.67490985011491,-73.96957397460938,40.67438908251787
id6,6,19,154417,197196,-73.97026062011719,40.67438908251787,-73.96957397460938,40.67386831085319
id7,7,19,154417,197197,-73.97026062011719,40.67386831085319,-73.96957397460938,40.673347535120875
id8,8,19,154418,197194,-73.96957397460938,40.67543061364428,-73.96888732910156,40.67490985011491
id9,9,19,154418,197195,-73.96957397460938,40.67490985011491,-73.96888732910156,40.67438908251787
id10,10,19,154418,197196,-73.96957397460938,40.67438908251787,-73.96888732910156,40.67386831085319
id11,11,19,154418,197197,-73.96957397460938,40.67386831085319,-73.96888732910156,40.673347535120875
id12,12,19,154419,197194,-73.96888732910156,40.67543061364428,-73.96820068359375,40.67490985011491
id13,13,19,154419,197195,-73.96888732910156,40.67490985011491,-73.96820068359375,40.67438908251787
id14,14,19,154419,197196,-73.96888732910156,40.67438908251787,-73.96820068359375,40.67386831085319
id15,15,19,154419,197197,-73.96888732910156,40.67386831085319,-73.96820068359375,40.673347535120875
